q_w,q_x,q_y,q_z,t,c
-0.574254,0.33315,-0.383751,0.641946,1555155706159983,6
-0.574254,0.33315,-0.383751,0.641946,1555155706161305,6
-0.574254,0.33315,-0.383751,0.641946,1555155706162657,6
-0.574254,0.33315,-0.383751,0.641946,1555155706163963,6
-0.574193,0.333028,-0.38369,0.642068,1555155706165302,6
-0.574193,0.333028,-0.38369,0.642068,1555155706166617,6
-0.574193,0.333028,-0.38369,0.642068,1555155706167924,6
-0.574193,0.333028,-0.38369,0.642068,1555155706169296,6
-0.574193,0.333028,-0.38369,0.642068,1555155706170601,6
-0.574193,0.333028,-0.383629,0.642129,1555155706171910,6
-0.574193,0.333028,-0.383629,0.642129,1555155706173278,6
-0.574193,0.333028,-0.383629,0.642129,1555155706174604,6
-0.574193,0.333028,-0.383629,0.642129,1555155706175925,6
-0.574193,0.332906,-0.383568,0.642251,1555155706177210,6
-0.574193,0.332906,-0.383568,0.642251,1555155706178560,6
-0.574193,0.332906,-0.383568,0.642251,1555155706179916,6
-0.574132,0.332906,-0.383446,0.642373,1555155706181257,6
-0.574132,0.332906,-0.383446,0.642373,1555155706182546,6
-0.574132,0.332906,-0.383446,0.642373,1555155706183879,6
-0.574132,0.332906,-0.383446,0.642373,1555155706185210,6
-0.574132,0.332906,-0.383446,0.642373,1555155706186528,6
-0.574681,0.331502,-0.381859,0.643533,1555155706339177,7
-0.574681,0.331502,-0.381859,0.643533,1555155706340498,7
-0.574742,0.331319,-0.381615,0.643777,1555155706341802,7
-0.574742,0.331319,-0.381615,0.643777,1555155706343120,7
-0.574742,0.331319,-0.381615,0.643777,1555155706344452,7
-0.574742,0.331319,-0.381615,0.643777,1555155706345805,7
-0.574742,0.331319,-0.381615,0.643777,1555155706347097,7
-0.574742,0.331319,-0.381615,0.643777,1555155706348469,7
-0.574742,0.331319,-0.381615,0.643777,1555155706349756,7
-0.574742,0.331319,-0.381615,0.643777,1555155706351107,7
-0.574864,0.331197,-0.381371,0.643838,1555155706352436,7
-0.574864,0.331197,-0.381371,0.643838,1555155706353730,7
-0.574864,0.331197,-0.381371,0.643838,1555155706355066,7
-0.574864,0.331197,-0.381371,0.643838,1555155706356389,7
-0.574986,0.330892,-0.381005,0.644082,1555155706357757,7
-0.574986,0.330892,-0.381005,0.644082,1555155706359050,7
-0.574986,0.330892,-0.381005,0.644082,1555155706360386,7
-0.574986,0.330892,-0.381005,0.644082,1555155706361699,7
-0.575047,0.33077,-0.380883,0.644204,1555155706363057,7
-0.575047,0.33077,-0.380883,0.644204,1555155706364388,7
-0.575047,0.33077,-0.380883,0.644204,1555155706365676,7
-0.575047,0.33077,-0.380883,0.644204,1555155706367029,7
-0.575108,0.330648,-0.380822,0.644265,1555155706368344,7
-0.575108,0.330648,-0.380822,0.644265,1555155706369667,7
-0.575108,0.330648,-0.380822,0.644265,1555155706370978,7
-0.575108,0.330648,-0.380822,0.644265,1555155706372317,7
-0.575108,0.330648,-0.380822,0.644265,1555155706373654,7
-0.575108,0.330648,-0.380822,0.644265,1555155706374977,7
-0.575108,0.330648,-0.380822,0.644265,1555155706376308,7
