angv_x,angv_y,angv_z,lina_x,lina_y,lina_z
2.6875,-0.4375,-0.0625,-0.14,-0.01,0.06
2.6875,-0.4375,-0.0625,-0.14,-0.01,0.06
2.4375,0.75,-0.3125,-0.14,-0.01,0.06
2.4375,0.75,-0.3125,0.18,-0.06,0.05
2.4375,0.75,-0.3125,0.18,-0.06,0.05
2.4375,0.75,-0.3125,0.18,-0.06,0.05
2.0625,0.1875,0.0625,0.18,-0.06,0.05
2.0625,0.1875,0.0625,-0.09,0.14,0.02
2.0625,0.1875,0.0625,-0.09,0.14,0.02
2.0625,0.1875,0.0625,-0.09,0.14,0.02
2.875,1.1875,0.375,-0.09,0.14,0.02
2.875,1.1875,0.375,-0.09,0.14,0.02
2.875,1.1875,0.375,0.02,0.11,-0.07
2.875,1.1875,0.375,0.02,0.11,-0.07
2.875,1.1875,0.375,0.02,0.11,-0.07
2.5,0.5,-0.5,0.02,0.11,-0.07
2.5,0.5,-0.5,0.02,0.11,-0.07
2.5,0.5,-0.5,-0.22,0.28,0.01
3.5625,0.3125,0,-0.18,0.2,0.13
3.5625,0.3125,0,-0.18,0.2,0.13
3.5625,0.3125,0,0.1,-0.16,0.14
3.5625,0.3125,0,0.1,-0.16,0.14
3.5625,0.3125,0,0.1,-0.16,0.14
3.0625,-0.75,-1.25,0.1,-0.16,0.14
3.0625,-0.75,-1.25,0.1,-0.02,0.14
3.0625,-0.75,-1.25,0.1,-0.02,0.14
3.0625,-0.75,-1.25,0.1,-0.02,0.14
4,-0.125,0.125,0.1,-0.02,0.14
4,-0.125,0.125,-0.05,-0.27,-0.18
4,-0.125,0.125,-0.05,-0.27,-0.18
4,-0.125,0.125,-0.05,-0.27,-0.18
4,-0.125,0.125,-0.05,-0.27,-0.18
4.0625,0.625,-0.625,-0.05,-0.27,-0.18
4.0625,0.625,-0.625,0.15,0.18,-0.13
4.0625,0.625,-0.625,0.15,0.18,-0.13
4.0625,0.625,-0.625,0.15,0.18,-0.13
4.9375,2.3125,0.125,0.15,0.18,-0.13
4.9375,2.3125,0.125,0.15,0.18,-0.13
4.9375,2.3125,0.125,-0.43,0.19,-0.01
4.9375,2.3125,0.125,-0.43,0.19,-0.01
3.9375,0.625,-0.4375,-0.43,0.19,-0.01
3.9375,0.625,-0.4375,-0.18,-0.18,0.09
3.9375,0.625,-0.4375,-0.18,-0.18,0.09
3.9375,0.625,-0.4375,-0.18,-0.18,0.09
3.9375,0.625,-0.4375,-0.18,-0.18,0.09
3.9375,0.625,-0.4375,-0.39,0.1,0.03
3.9375,0.625,-0.4375,-0.39,0.1,0.03
3.9375,0.625,-0.4375,-0.39,0.1,0.03
3.9375,0.625,-0.4375,-0.39,0.1,0.03
4.5625,0.375,0.0625,-0.39,0.1,0.03
4.5625,0.375,0.0625,-0.01,0.03,-0.1
4.5625,0.375,0.0625,-0.01,0.03,-0.1
4.5625,0.375,0.0625,-0.01,0.03,-0.1
4.5625,0.375,0.0625,-0.01,0.03,-0.1
3.875,-0.6875,0.4375,-0.01,0.03,-0.1
2.625,0,0.4375,-0.06,0.13,-0.01
2.625,0,0.4375,-0.06,0.13,-0.01
2,-0.0625,-0.75,-0.06,0.13,-0.01
2,-0.0625,-0.75,0.09,-0.15,0.04
2,-0.0625,-0.75,0.09,-0.15,0.04
2,-0.0625,-0.75,0.09,-0.15,0.04
2,-0.0625,-0.75,0.09,-0.15,0.04
2,-0.0625,-0.75,-0.08,0.13,0.04
2,-0.0625,-0.75,-0.08,0.13,0.04
2,-0.0625,-0.75,-0.08,0.13,0.04
2.9375,0.375,-0.6875,-0.08,0.13,0.04
2.9375,0.375,-0.6875,-0.08,0.13,0.04
2.9375,0.375,-0.6875,-0.14,-0.11,0
2.9375,0.375,-0.6875,-0.14,-0.11,0
2.9375,0.375,-0.6875,-0.14,-0.11,0
3.625,0,0.375,-0.14,-0.11,0
3.625,0,0.375,0.11,-0.11,-0.02
3.625,0,0.375,0.11,-0.11,-0.02
3.625,0,0.375,0.11,-0.11,-0.02
3.625,0,0.375,0.11,-0.11,-0.02
3.9375,0.6875,-0.1875,0.11,-0.11,-0.02
3.9375,0.6875,-0.1875,-0.11,-0.04,0.05
3.9375,0.6875,-0.1875,-0.11,-0.04,0.05
3.9375,0.6875,-0.1875,-0.11,-0.04,0.05
3.8125,-0.4375,-0.1875,-0.11,-0.04,0.05
3.8125,-0.4375,-0.1875,0.05,0.07,0.02
3.8125,-0.4375,-0.1875,0.05,0.07,0.02
3.8125,-0.4375,-0.1875,0.05,0.07,0.02
3.8125,-0.4375,-0.1875,0.05,0.07,0.02
3.8125,-0.4375,-0.1875,-0.23,0.22,0.02
3.8125,-0.4375,-0.1875,-0.23,0.22,0.02
4.125,0.5,0.0625,-0.23,0.22,0.02
4.125,0.5,0.0625,-0.06,0.06,-0.02
